,gene,scores,log2FoldChange,pvalue,padj,baseMean
0,Timp1,24.4455,1.4082953,5.618746258094279e-132,8.4031702033543e-129,1345.4431344927345
1,Snai2,24.429056,1.5717783,8.4031702033543e-132,8.4031702033543e-129,1272.5450554063991
2,Mmp2,24.205477,1.4280403,1.9481232848725e-129,1.2987488565816667e-126,4535.960173579132
3,Lats1,24.140484,1.5116789,9.399127822290254e-129,4.6995639111451266e-126,1285.2536892550552
4,Wwtr1,23.922626,1.4795157,1.7812827482776236e-126,7.125130993110494e-124,1396.1511443367235
5,Lats2,23.855717,1.382732,8.833406682042327e-126,2.9444688940141087e-123,3809.0213989689205
6,Trpv4,23.34525,1.3255255,1.5401565835787716e-120,4.400447381653633e-118,2276.212220130173
7,Yap1,23.277311,1.4356256,7.526833116976139e-120,1.8817082792440345e-117,3894.717256928147
8,Loxl2,23.164797,1.5080875,1.0313423244923131e-118,2.2918718322051404e-116,373.56247994370693
9,Fn1,22.989218,1.362151,5.9755063379289115e-117,1.1951012675857823e-114,2463.477408683252
10,Mmp9,22.843433,1.3450983,1.698430969816144e-115,3.088056308756626e-113,216.38732090724903
11,Mmp14,22.836834,1.3300964,1.9752995135267952e-115,3.292165855877992e-113,360.13335710400486
12,Piezo1,22.638474,1.3411324,1.8121039070232067e-113,2.7878521646510874e-111,4536.865394054834
13,Lox,22.609995,1.1896254,3.4557367459620467e-113,4.936766779945781e-111,739.2645870320961
14,Twist1,22.275557,1.2682409,6.378010145049411e-110,8.50401352673255e-108,2685.4823772623245
15,Vim,22.139246,1.2004714,1.3243408929728053e-108,1.6554261162160066e-106,2084.9232328734975
16,Cdh1,21.739841,1.1981846,8.619564534063507e-105,1.0140664157721772e-102,1769.3494649812712
17,Zeb1,20.962502,1.1594408,1.4430109241991304e-97,1.6033454713323673e-95,4504.175061151998
18,Cdh2,20.796303,1.0836207,4.6749255127783255e-96,4.920974223977185e-94,158.02581403867305
19,Snai1,20.431824,1.1223966,8.718257489986064e-93,8.718257489986064e-91,3335.758946569166
20,Pdgfb,20.116978,1.2348341,5.240621998447181e-90,4.991068569949696e-88,4818.802449357075
21,Tuba1a,20.098536,1.1827079,7.60028089288541e-90,6.909346266259464e-88,2822.8325081361177
22,Rdx,19.873573,1.1032072,6.891788105354697e-88,5.992859222047562e-86,4687.271187063805
23,Actb,19.58177,1.0787083,2.2120099251829236e-85,1.8433416043191028e-83,308.67650246581763
24,Rac1,19.303219,1.0609066,5.0465333853982045e-83,4.0372267083185635e-81,2123.026929417099
25,Cxcr4,19.254013,0.95158404,1.3064228726680591e-82,1.0049406712831225e-80,1337.7810652621533
26,Tgfb3,19.24981,1.0989356,1.4168419825929373e-82,1.049512579698472e-80,3667.5637766546124
27,Actg1,19.178093,1.0997401,5.641090151736864e-82,4.029350108383474e-80,4907.420597961371
28,Wnt5a,18.977064,1.1456313,2.6394109239696095e-80,1.8117076718587607e-78,1319.8238090990267
29,Tgfb1,18.97553,1.048515,2.717561507788141e-80,1.8117076718587607e-78,3288.164277296669
30,RhoA,18.53571,0.9982321,1.0637813605348461e-76,6.863105551837717e-75,1030.5832821607137
31,Tubb3,17.93722,0.8888083,6.040334511090721e-72,3.7752090694317e-70,2848.384760129469
32,Zeb2,17.873075,0.8326665,1.9116031782707453e-71,1.1585473807701486e-69,2346.4658091072642
33,Tgfb2,17.851854,0.9560157,2.796008832926784e-71,1.6447110781922257e-69,4861.426381676109
34,Msn,17.838806,0.9232954,3.5316421835165767e-71,2.018081247723758e-69,3062.2099998475096
35,Cxcl12,17.221407,0.85321563,1.834707374261675e-66,1.0192818745898195e-64,1780.056541829753
36,Fgf2,17.202227,0.7872788,2.5552293211524624e-66,1.3812050384607906e-64,614.7741351952702
37,Col1a1,15.820098,1.2197081,2.261410409244803e-56,1.1902160048656857e-54,798.671802237926
38,Pdgfa,15.496982,0.7351815,3.6357408034296065e-54,1.864482463297234e-52,1165.3188032586138
39,Ezr,15.270568,0.7482381,1.2012219026141517e-52,6.006109513070759e-51,1292.2849736344751
40,Cdc42,15.093128,0.68474996,1.7971619585180063e-51,8.766643700087834e-50,4260.549486313632
41,Col3a1,14.049491,1.0183194,7.758965821869579e-45,3.694745629461704e-43,2828.0528019984986
42,Vegfa,12.2353735,0.50140005,2.011782639952265e-34,9.357128557917513e-33,2640.785011303114
43,Itgb1,9.98928,0.78856075,1.6981179463199282e-23,7.718717937817856e-22,618.1059157526265
44,Itga6,8.171917,0.5235485,3.0352842154926455e-16,1.3490152068856203e-14,4307.691482079703
45,Tgfbi,5.6696167,2.5124125,1.4311750277237544e-08,5.96322928218231e-07,3627.9308008819944
46,Postn,5.2792625,1.4051281,1.2970498357006368e-07,5.188199342802547e-06,384.95839140500783
47,Tagln,5.1615577,1.5235142,2.449032593534168e-07,9.604049386408503e-06,3553.783731287355
48,Acta2,4.0935774,0.9559438,4.247679704195817e-05,0.001196529494139667,2740.514175846098
49,Myh11,3.6647644,1.1644955,0.00024756641305993224,0.004951328261198645,454.54046144655234
50,Cnn1,2.5871317,0.7202941,0.00967785987544365,0.0733171202685125,2318.5881755668493
51,Gene_0328,1.0990323,0.37673935,0.27175399575583603,0.5930590099827237,2449.2466212937325
