,gene,scores,log2FoldChange,pvalue,padj,baseMean
0,Wwtr1,20.43003,1.1924803,9.044447213877609e-93,1.808889442775522e-89,2881.379597503784
1,Lats2,20.149113,1.1363691,2.739853908459528e-90,2.739853908459528e-87,4036.8900300349324
2,Lats1,19.716917,1.1732489,1.5435536893186497e-86,1.0290357928790998e-83,3812.7966024612874
3,Yap1,19.141962,1.108331,1.1293565448275973e-81,5.646782724137986e-79,811.8045282341798
4,Piezo1,18.271164,1.0252614,1.4042110890277532e-74,5.616844356111013e-72,788.7848752202958
5,Trpv4,17.739859,0.92533606,2.0645529125459657e-70,6.881843041819886e-68,1377.463120337321
6,Loxl2,15.913116,0.98118347,5.139008392918125e-57,1.4682881122623214e-54,1837.3198953881342
7,Mmp9,15.68009,0.87430125,2.0696060592666295e-55,5.174015148166574e-53,2071.8551279719886
8,Timp1,15.216885,0.7985527,2.732378184666028e-52,6.071951521480063e-50,3414.501223325059
9,Mmp2,14.5209255,0.7622433,8.929656684672753e-48,1.7859313369345506e-45,330.56813922088526
10,Lox,13.712793,0.6973074,8.511681628481355e-43,1.547578477905701e-40,221.62988591902862
11,Fn1,13.541062,0.7308025,8.948497872465642e-42,1.491416312077607e-39,1989.9572865723496
12,Rdx,13.14719,0.75712067,1.7661732362802872e-39,2.717189594277365e-37,3500.9602760830035
13,Mmp14,13.056745,0.70718145,5.816208703658271e-39,8.308869576654672e-37,1007.5049476345887
14,Tuba1a,12.37571,0.7065217,3.537544432655994e-35,4.716725910207992e-33,3225.447182218446
15,Actg1,12.078813,0.68413794,1.3667938169440517e-33,1.7084922711800647e-31,1336.1492828044823
16,Actb,11.905001,0.67558193,1.1146227126460148e-32,1.3113208384070761e-30,4436.126238626906
17,Msn,11.885505,0.61708856,1.4078281891800675e-32,1.5642535435334085e-30,4483.665224119752
18,Col1a1,11.632338,0.8713921,2.822608160517965e-31,2.971166484755753e-29,1521.5716611925661
19,Tubb3,10.538207,0.4852009,5.758647835695013e-26,5.7586478356950135e-24,1188.4690821180404
20,Pdgfb,10.385575,0.681598,2.8842442604999317e-25,2.7468992957142204e-23,2085.9546617278447
21,Ezr,10.377593,0.53631717,3.1358006934048667e-25,2.8507279030953336e-23,1240.6313466417362
22,Snai2,10.22729,0.7016025,1.4964876769610659e-24,1.3012936321400572e-22,3378.300024293933
23,Tgfb1,9.592148,0.55977476,8.62699944169905e-22,7.189166201415876e-20,4139.020188514013
